chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL589822,O=C1CSC(N/N=C/c2ccc(F)cc2)=N1,C10H8FN3OS,1580.0,5.8,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL590877,O=C1CSC(N/N=C/c2cccc(F)c2)=N1,C10H8FN3OS,7780.0,5.11,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589823,O=C1CSC(N/N=C/c2ccc(Cl)cc2)=N1,C10H8ClN3OS,1820.0,5.74,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL592139,O=C1CSC(N/N=C/c2cccc(Cl)c2)=N1,C10H8ClN3OS,4310.0,5.37,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL590568,Cc1cccc(/C=N/NC2=NC(=O)CS2)c1,C11H11N3OS,8190.0,5.09,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL592240,O=C1CSC(NN=C2CCCCCCC2)=N1,C11H17N3OS,18400.0,4.74,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589165,O=C1CSC(NN=C2CCCCCC2)=N1,C10H15N3OS,27600.0,4.56,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL591053,O=C1CSC(NN=C2CCCCC2)=N1,C9H13N3OS,32100.0,4.49,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL591000,O=C1CSC(NN=C2CCCC2)=N1,C8H11N3OS,38500.0,4.42,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL591052,O=C1CSC(NN=C2CCC2)=N1,C7H9N3OS,46300.0,4.33,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589560,Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,C21H18ClFN2OS,520.0,6.28,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589561,Oc1c(Br)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,C21H18BrFN2OS,730.0,6.14,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL589801,Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,C22H21FN2OS,3800.0,5.42,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL592200,Oc1c(Cl)cc(Cl)cc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,C21H17Cl2FN2OS,1100.0,5.96,Antiproliferative activity against human MCF7 cells after 48 hrs by MTT assay,MCF7
